1 ,231,204,154,118,174,698,"1,115","1,022","1,102","1,286","1,665","1,510","1,293","1,184","1,328","1,411","1,373","1,299","1,212","1,194","1,053",971,754,535
7 ,293,282,224,195,330,959,"1,731","1,973","1,831","2,118","2,664","2,500","2,179","1,728","1,782","1,927","1,907","1,773","1,341","1,082",843,649,530,396
6 ,264,231,186,220,335,"1,049","1,912","2,793","2,744","2,344","2,632","2,487","2,268","2,105","2,205","2,056","2,094","2,132","1,916","1,475","1,118",856,617,414
5 ,307,228,179,191,402,"1,255","2,427","3,061","2,742","2,164","2,581","2,488","2,194","1,974","2,007","1,801","1,743","1,731","1,279",906,683,583,450,311
4 ,377,242,302,189,232,620,921,903,841,"1,011","1,408","1,447","1,287","1,140","1,284","1,524","1,374","1,242","1,157","1,096","1,058",991,719,493
3 ,350,306,272,136,177,527,830,921,"1,142","1,481","2,039","2,232","1,861","1,244","1,435","1,269","1,108",763,548,757,825,763,668,610
2 ,204,146,108,112,223,648,"1,653","2,947","2,242","2,866","2,299","2,177","2,120","2,109","2,859","2,318","1,999","1,855","1,825","1,135",818,631,569,492
1 ,722,465,321,306,518,"1,202","2,501","1,957","1,443","2,241","2,859","2,249","2,427","3,158","2,548","2,113","3,046","1,715","1,193",989,758,632,505,378
7 ,514,367,286,327,470,"1,037","1,995","2,709","1,480","1,956","2,935","2,175","2,797","2,239","2,943","2,379","2,314","2,482","1,665","1,540","1,361","1,039",848,"1,244"
6 ,343,257,225,214,303,674,"1,391","2,379","2,664","2,196","2,534","2,319","2,253","2,031","2,198","3,081","3,004","3,117","2,513","1,580","1,246","1,101","1,055",682
5 ,349,257,224,243,309,943,"1,704","2,695","2,819","2,674","2,864","2,782","2,491","2,378","2,453","2,233","2,169","2,147","1,801","1,177",872,741,607,419
4 ,338,259,238,234,375,"1,013","2,170","2,978","2,922","2,593","2,957","2,727","2,472","2,423","2,340","2,312","2,271","2,260","1,885","1,342",900,790,618,433
3 ,321,285,202,265,373,"1,012","2,026","3,123","2,991","2,595","3,132","3,002","2,588","2,424","2,331","2,110","2,168","2,305","1,789","1,230",832,746,559,455
2 ,405,241,203,243,440,"1,383","2,558","3,295","3,054","2,656","2,811","2,785","2,413","2,376","2,381","2,237","2,151","2,013","1,635","1,145",874,728,575,432
1 ,306,199,179,127,280,949,"1,764","1,793","1,571","1,661","1,880","1,693","1,423","1,351","1,374","1,183","1,498","1,281","1,255","1,275","1,127","1,138",875,574
7 ,384,293,243,260,465,"1,202","1,787","2,228","2,621","2,450","2,280","2,318","2,804","2,275","2,383","2,466","2,096","2,039","1,599","1,100",993,902,645,442
6 ,321,257,231,228,356,"1,019","2,061","2,908","2,961","2,537","2,949","2,692","2,334","2,303","2,274","2,456","2,463","2,566","2,577","1,938","1,521","1,169",805,552
5 ,352,253,233,233,351,"1,073","2,026","2,847","3,167","2,561","2,831","2,867","2,493","2,402","2,232","2,168","2,105","2,003","1,840","1,189",863,745,564,409
4 ,284,240,190,210,351,"1,036","2,024","2,901","3,002","2,509","2,769","2,817","2,491","2,440","2,346","2,203","1,987","2,050","1,593","1,136",821,690,551,421
3 ,299,236,190,190,340,"1,002","1,992","3,065","2,945","2,450","2,658","2,867","2,431","2,378","2,219","2,121","2,034","1,903","1,608","1,080",860,669,536,423
2 ,385,301,218,220,453,"1,429","2,430","3,126","3,153","2,178","2,552","2,745","2,279","2,303","2,164","2,040","1,923","1,909","1,584","1,020",807,728,517,396
